,fips_code,debt,per_cap_debt,state_pop,order_dur,biz_dur,gathering_ban,out_of_state_travel_restricted,daycares_closed,bars_and_restaurants_closed,oth-non_essential_closed,shelter_score,avg_sen_maj_ideology,avg_hou_maj_ideology,avg_sen_ideology,avg_hou_ideology,avg_sen_polarz,avg_hou_polarz,days_since_first_case,tot_cases,cases_per-day,tot_deaths,days_since_first-death,deaths_per_day,test_per_100k,avg_temp_mar_to_may,mortality_rate,state_outbeak_lag,order_lag,biz_restrict_lag,ord_or_adv_lag,per_cap_mort_rate,tot_death_per_cap
fips_code,1,-0.088245157,-0.073324358,-0.095744192,0.204043776,0.015208063,-0.091521642,0.039200515,0.084969015,-0.144468719,-0.230830858,-0.026652525,0.085032081,0.076502054,0.124521424,0.115407221,-0.189681825,-0.137851821,-0.13201552,-0.0621363,-0.030704923,-0.02072628,-0.088808737,-0.020787083,0.087599356,-0.212060601,-0.08144204,0.13201552,-0.119753203,-0.150534756,-0.119649773,0.142699805,-0.087373501
debt,-0.088245157,1,0.368713344,0.794680316,0.26132959,0.293095704,0.350016213,-0.255645248,0.121581288,0.127118476,0.242780517,0.19625262,-0.400008741,-0.452695658,-0.440506658,-0.437595672,0.245517183,0.246843033,0.527217265,0.890060238,0.840401232,0.783948442,0.502383843,0.780800206,0.260902299,0.007933827,0.437471403,-0.527217265,0.320860043,0.408555692,0.373802983,-0.317339584,0.577298648
per_cap_debt,-0.073324358,0.368713344,1,-0.082327717,0.386451426,0.44952411,0.112621585,0.244584521,0.22224845,0.063050362,0.257631481,0.161841667,-0.525515401,-0.573724507,-0.594267659,-0.61565877,-0.235208403,-0.358691827,0.183480914,0.277435153,0.260942561,0.387489454,0.064507644,0.39666014,0.553938745,-0.302309027,0.553892612,-0.183480914,-0.192958513,0.087883903,-0.018230942,0.381927825,0.672290522
state_pop,-0.095744192,0.794680316,-0.082327717,1,-0.008763206,0.015813602,0.213522971,-0.316499587,0.038478037,0.139858154,0.245963073,0.24487211,-0.105835862,-0.131084481,-0.129865907,-0.107045845,0.421526577,0.430642281,0.454512558,0.679145368,0.635490355,0.445475816,0.538793014,0.43825747,-0.051109502,0.314330685,0.14076432,-0.454512558,0.43475984,0.39346414,0.411701878,-0.467148377,0.160182947
advisory_dur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
order_dur,0.204043776,0.26132959,0.386451426,-0.008763206,1,0.736074041,0.255668085,-0.005237266,0.367538405,,-0.284775508,,-0.534532166,-0.54815863,-0.534983583,-0.526993326,-0.040998577,-0.151720496,0.229406739,0.192562375,0.182255222,0.260819162,0.161248831,0.261036194,0.143336856,-0.252949717,0.410875828,-0.229406739,0.000820129,0.073485111,0.000820129,0.12054279,0.332378865
biz_dur,0.015208063,0.293095704,0.44952411,0.015813602,0.736074041,1,0.432343545,-0.153910547,0.283837905,0.134543944,0.006857915,0.124532205,-0.565352761,-0.594161124,-0.504802562,-0.545086129,0.009056494,-0.032711351,0.281531218,0.238054897,0.223266944,0.310642164,0.334169438,0.308118573,0.241715559,-0.29344139,0.438761264,-0.281531218,-0.00299915,0.022200633,0.021670046,0.029022482,0.4133726
gathering_ban,-0.091521642,0.350016213,0.112621585,0.213522971,0.255668085,0.432343545,1,-0.29945018,-0.07130008,0.246354109,0.09656091,0.26070564,-0.381523463,-0.402270775,-0.32775156,-0.356205526,0.139486206,0.124915114,0.099477067,0.301041466,0.287596963,0.296815941,0.218512291,0.289511813,0.032176257,-0.083029846,0.224017902,-0.099477067,-0.143022547,-0.061624727,-0.149067643,-0.186650856,0.244080191
out_of_state_travel_restricted,0.039200515,-0.255645248,0.244584521,-0.316499587,-0.005237266,-0.153910547,-0.29945018,1,0.078269481,0.12726334,0.042459181,-0.004480188,0.027794532,-0.012717475,-0.061527653,-0.076060408,-0.096303034,-0.070211108,-0.168927819,-0.328510925,-0.328571005,-0.251890927,-0.457067917,-0.244796696,0.041457274,-0.243108665,-0.042553752,0.168927819,-0.257211063,-0.135012329,-0.18792254,0.527703813,-0.129681164
schools_closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daycares_closed,0.084969015,0.121581288,0.22224845,0.038478037,0.367538405,0.283837905,-0.07130008,0.078269481,1,0.030823548,-0.054695916,-0.077301481,-0.297545413,-0.249093921,-0.321334199,-0.245453797,-0.172286225,-0.197565772,0.123607717,0.101158274,0.088392608,0.096755426,-0.136393058,0.09762855,0.239934234,-0.150106456,-0.001142984,-0.123607717,0.032545817,-0.031854075,0.048032829,0.159460902,0.110699671
bars_and_restaurants_closed,-0.144468719,0.127118476,0.063050362,0.139858154,,0.134543944,0.246354109,0.12726334,0.030823548,1,0.6184926,0.338504425,-0.134447649,-0.079544311,-0.129108057,-0.090086132,0.171157762,0.146714109,0.08146615,0.103391393,0.10176626,0.090034197,-0.070892549,0.091808191,0.005635494,0.132569699,0.253540389,-0.08146615,,-0.057108973,,0.022228582,0.103386376
oth-non_essential_closed,-0.230830858,0.242780517,0.257631481,0.245963073,-0.284775508,0.006857915,0.09656091,0.042459181,-0.054695916,0.6184926,1,0.462081147,-0.135335826,-0.083507313,-0.159665503,-0.111427141,0.156093038,0.113753268,0.181225117,0.21558082,0.210081913,0.19259272,0.309032956,0.196244144,0.177309881,0.242351833,0.455931164,-0.181225117,0.122584725,0.18349056,0.129275599,0.014202018,0.25838061
shelter_score,-0.026652525,0.19625262,0.161841667,0.24487211,,0.124532205,0.26070564,-0.004480188,-0.077301481,0.338504425,0.462081147,1,-0.11036199,-0.249413399,-0.11221665,-0.250974234,0.326854047,0.235416618,0.106243466,0.178484515,0.182752128,0.151167046,0.316014922,0.149076404,-0.066394777,0.132282187,0.353332057,-0.106243466,,0.095857597,-0.182904092,0.032360907,0.147589158
avg_sen_maj_ideology,0.085032081,-0.400008741,-0.525515401,-0.105835862,-0.534532166,-0.565352761,-0.381523463,0.027794532,-0.297545413,-0.134447649,-0.135335826,-0.11036199,1,0.891890457,0.969637521,0.884914574,-0.085173062,-0.114537484,-0.362609948,-0.268467361,-0.227160657,-0.267562501,-0.233477438,-0.26665613,-0.294435137,0.206821422,-0.32870947,0.362609948,-0.10361466,-0.240340158,-0.158434513,-0.179244031,-0.398879011
avg_hou_maj_ideology,0.076502054,-0.452695658,-0.573724507,-0.131084481,-0.54815863,-0.594161124,-0.402270775,-0.012717475,-0.249093921,-0.079544311,-0.083507313,-0.249413399,0.891890457,1,0.885939423,0.981943015,-0.09342194,-0.072346182,-0.361946746,-0.349545401,-0.311585163,-0.36728537,-0.250215685,-0.362549771,-0.315849438,0.214639328,-0.364536221,0.361946746,-0.125979232,-0.251341196,-0.125979232,-0.266945258,-0.445297395
avg_sen_ideology,0.124521424,-0.440506658,-0.594267659,-0.129865907,-0.534983583,-0.504802562,-0.32775156,-0.061527653,-0.321334199,-0.129108057,-0.159665503,-0.11221665,0.969637521,0.885939423,1,0.908096083,-0.032429548,-0.054324778,-0.340332288,-0.302904518,-0.25880103,-0.299918653,-0.169012297,-0.300284254,-0.3390642,0.175978112,-0.355640205,0.340332288,-0.060851583,-0.240392958,-0.136947144,-0.231122968,-0.455804517
avg_hou_ideology,0.115407221,-0.437595672,-0.61565877,-0.107045845,-0.526993326,-0.545086129,-0.356205526,-0.076060408,-0.245453797,-0.090086132,-0.111427141,-0.250974234,0.884914574,0.981943015,0.908096083,1,-0.07896165,-0.033872327,-0.284572838,-0.344449766,-0.316231134,-0.376604679,-0.203332729,-0.371935777,-0.343901794,0.198873461,-0.389458531,0.284572838,-0.052593406,-0.19623316,-0.052593406,-0.317388884,-0.488330151
avg_sen_polarz,-0.189681825,0.245517183,-0.235208403,0.421526577,-0.040998577,0.009056494,0.139486206,-0.096303034,-0.172286225,0.171157762,0.156093038,0.326854047,-0.085173062,-0.09342194,-0.032429548,-0.07896165,1,0.836589408,0.271691848,0.104975413,0.080923739,-0.010876608,0.307514067,-0.020846022,-0.460304289,0.023925554,-0.06648773,-0.271691848,0.345658349,0.286880469,0.250213271,-0.326055069,-0.269608685
avg_hou_polarz,-0.137851821,0.246843033,-0.358691827,0.430642281,-0.151720496,-0.032711351,0.124915114,-0.070211108,-0.197565772,0.146714109,0.113753268,0.235416618,-0.114537484,-0.072346182,-0.054324778,-0.033872327,0.836589408,1,0.393706181,0.081408113,0.038510974,-0.063470279,0.292769922,-0.069690053,-0.41490629,-0.101391746,-0.061591146,-0.393706181,0.38708784,0.327295935,0.38708784,-0.292624535,-0.266693689
days_since_first_case,-0.13201552,0.527217265,0.183480914,0.454512558,0.229406739,0.281531218,0.099477067,-0.168927819,0.123607717,0.08146615,0.181225117,0.106243466,-0.362609948,-0.361946746,-0.340332288,-0.284572838,0.271691848,0.393706181,1,0.35872775,0.254426664,0.212281933,0.430795726,0.214839386,0.01939802,0.058891362,0.115940998,-1,0.935191314,0.895437642,0.941555856,-0.236493578,0.161480865
tot_cases,-0.0621363,0.890060238,0.277435153,0.679145368,0.192562375,0.238054897,0.301041466,-0.328510925,0.101158274,0.103391393,0.21558082,0.178484515,-0.268467361,-0.349545401,-0.302904518,-0.344449766,0.104975413,0.081408113,0.35872775,1,0.990875187,0.948332215,0.432427811,0.945973732,0.371974319,0.067044461,0.446833768,-0.35872775,0.210624024,0.262587047,0.242013498,-0.335914978,0.692658092
cases_per-day,-0.030704923,0.840401232,0.260942561,0.635490355,0.182255222,0.223266944,0.287596963,-0.328571005,0.088392608,0.10176626,0.210081913,0.182752128,-0.227160657,-0.311585163,-0.25880103,-0.316231134,0.080923739,0.038510974,0.254426664,0.990875187,1,0.962578112,0.416052017,0.959978132,0.377109517,0.072220435,0.465765947,-0.254426664,0.12037255,0.170719803,0.143458484,-0.32879581,0.711376858
tot_deaths,-0.02072628,0.783948442,0.387489454,0.445475816,0.260819162,0.310642164,0.296815941,-0.251890927,0.096755426,0.090034197,0.19259272,0.151167046,-0.267562501,-0.36728537,-0.299918653,-0.376604679,-0.010876608,-0.063470279,0.212281933,0.948332215,0.962578112,1,0.342252502,0.999480461,0.447657456,-0.072699069,0.565942493,-0.212281933,0.023754465,0.11711293,0.073110013,-0.213135351,0.794763469
days_since_first-death,-0.088808737,0.502383843,0.064507644,0.538793014,0.161248831,0.334169438,0.218512291,-0.457067917,-0.136393058,-0.070892549,0.309032956,0.316014922,-0.233477438,-0.250215685,-0.169012297,-0.203332729,0.307514067,0.292769922,0.430795726,0.432427811,0.416052017,0.342252502,1,0.332207753,-0.07152409,0.228764246,0.325593139,-0.430795726,0.454761304,0.420022974,0.414663531,-0.408737729,0.239434753
deaths_per_day,-0.020787083,0.780800206,0.39666014,0.43825747,0.261036194,0.308118573,0.289511813,-0.244796696,0.09762855,0.091808191,0.196244144,0.149076404,-0.26665613,-0.362549771,-0.300284254,-0.371935777,-0.020846022,-0.069690053,0.214839386,0.945973732,0.959978132,0.999480461,0.332207753,1,0.448991846,-0.074447131,0.5746754,-0.214839386,0.02128744,0.121278918,0.07658009,-0.212572618,0.802132225
test_per_100k,0.087599356,0.260902299,0.553938745,-0.051109502,0.143336856,0.241715559,0.032176257,0.041457274,0.239934234,0.005635494,0.177309881,-0.066394777,-0.294435137,-0.315849438,-0.3390642,-0.343901794,-0.460304289,-0.41490629,0.01939802,0.371974319,0.377109517,0.447657456,-0.07152409,0.448991846,1,-0.200840327,0.334862157,-0.01939802,-0.142963963,-0.121625456,-0.089753971,0.343062614,0.634199975
avg_temp_mar_to_may,-0.212060601,0.007933827,-0.302309027,0.314330685,-0.252949717,-0.29344139,-0.083029846,-0.243108665,-0.150106456,0.132569699,0.242351833,0.132282187,0.206821422,0.214639328,0.175978112,0.198873461,0.023925554,-0.101391746,0.058891362,0.067044461,0.072220435,-0.072699069,0.228764246,-0.074447131,-0.200840327,1,-0.137665268,-0.058891362,0.20579909,0.250799029,0.16024074,-0.387562985,-0.097752159
mortality_rate,-0.08144204,0.437471403,0.553892612,0.14076432,0.410875828,0.438761264,0.224017902,-0.042553752,-0.001142984,0.253540389,0.455931164,0.353332057,-0.32870947,-0.364536221,-0.355640205,-0.389458531,-0.06648773,-0.061591146,0.115940998,0.446833768,0.465765947,0.565942493,0.325593139,0.5746754,0.334862157,-0.137665268,1,-0.115940998,-0.184538112,0.025935964,-0.097765364,0.131566214,0.78520443
state_outbeak_lag,0.13201552,-0.527217265,-0.183480914,-0.454512558,-0.229406739,-0.281531218,-0.099477067,0.168927819,-0.123607717,-0.08146615,-0.181225117,-0.106243466,0.362609948,0.361946746,0.340332288,0.284572838,-0.271691848,-0.393706181,-1,-0.35872775,-0.254426664,-0.212281933,-0.430795726,-0.214839386,-0.01939802,-0.058891362,-0.115940998,1,-0.935191314,-0.895437642,-0.941555856,0.236493578,-0.161480865
advisory_lag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
order_lag,-0.119753203,0.320860043,-0.192958513,0.43475984,0.000820129,-0.00299915,-0.143022547,-0.257211063,0.032545817,,0.122584725,,-0.10361466,-0.125979232,-0.060851583,-0.052593406,0.345658349,0.38708784,0.935191314,0.210624024,0.12037255,0.023754465,0.454761304,0.02128744,-0.142963963,0.20579909,-0.184538112,-0.935191314,1,0.928187334,1,-0.310990317,-0.127359005
biz_restrict_lag,-0.150534756,0.408555692,0.087883903,0.39346414,0.073485111,0.022200633,-0.061624727,-0.135012329,-0.031854075,-0.057108973,0.18349056,0.095857597,-0.240340158,-0.251341196,-0.240392958,-0.19623316,0.286880469,0.327295935,0.895437642,0.262587047,0.170719803,0.11711293,0.420022974,0.121278918,-0.121625456,0.250799029,0.025935964,-0.895437642,0.928187334,1,0.935357576,-0.282710069,0.056511988
ord_or_adv_lag,-0.119649773,0.373802983,-0.018230942,0.411701878,0.000820129,0.021670046,-0.149067643,-0.18792254,0.048032829,,0.129275599,-0.182904092,-0.158434513,-0.125979232,-0.136947144,-0.052593406,0.250213271,0.38708784,0.941555856,0.242013498,0.143458484,0.073110013,0.414663531,0.07658009,-0.089753971,0.16024074,-0.097765364,-0.941555856,1,0.935357576,1,-0.302525803,-0.009184614
per_cap_mort_rate,0.142699805,-0.317339584,0.381927825,-0.467148377,0.12054279,0.029022482,-0.186650856,0.527703813,0.159460902,0.022228582,0.014202018,0.032360907,-0.179244031,-0.266945258,-0.231122968,-0.317388884,-0.326055069,-0.292624535,-0.236493578,-0.335914978,-0.32879581,-0.213135351,-0.408737729,-0.212572618,0.343062614,-0.387562985,0.131566214,0.236493578,-0.310990317,-0.282710069,-0.302525803,1,0.024284205
tot_death_per_cap,-0.087373501,0.577298648,0.672290522,0.160182947,0.332378865,0.4133726,0.244080191,-0.129681164,0.110699671,0.103386376,0.25838061,0.147589158,-0.398879011,-0.445297395,-0.455804517,-0.488330151,-0.269608685,-0.266693689,0.161480865,0.692658092,0.711376858,0.794763469,0.239434753,0.802132225,0.634199975,-0.097752159,0.78520443,-0.161480865,-0.127359005,0.056511988,-0.009184614,0.024284205,1
